id,label
1174,1.0
4800,0.029933125
10003,0.9987209
4269,3.2514334e-05
10554,0.8626584
9949,0.2787195
10004,0.95708156
2571,0.022046655
8654,0.9999672
10162,0.99880135
505,0.00036391616
2096,0.024775714
1543,0.21448976
2974,0.393352
9102,0.993526
9884,8.136034e-06
9551,0.9899825
6819,0.9987499
7411,0.49956468
9837,0.9836787
3972,0.56035507
3608,0.7173901
4711,0.9993758
8935,0.9943718
7402,0.020196617
7323,0.30830503
1694,0.34457576
11479,0.01978749
9665,0.0031440556
11313,0.048576713
9097,0.033569336
9104,0.9938705
10657,0.14696291
237,0.0138910115
1357,0.026084125
9782,0.3096422
8418,0.5103527
3053,0.1385676
8945,0.32238075
3930,0.7100438
5234,0.9992646
1396,0.081789434
4435,0.0041127205
7325,0.0033984482
7454,0.9999953
3633,0.71977
1206,0.8967561
9295,0.9999839
6904,0.0020833611
3522,0.9471164
10295,0.06902364
3679,0.03963673
4964,0.0029488206
7636,0.7303863
9620,0.35050583
11454,0.4572069
2928,0.96621394
1795,0.0012724698
1011,0.18106231
7976,0.008761674
3469,0.9997851
6628,0.9968738
184,0.21357152
5435,0.29219326
12251,0.2422908
4791,0.9261362
11821,0.9970495
6592,0.9995452
1488,0.0002629757
6053,0.19754618
8593,0.20479605
10775,0.00013577938
2123,0.99983513
1269,0.88071215
8589,0.99785423
3832,0.07695213
8728,0.9785671
4465,0.95588315
7522,0.01737523
9427,0.9999994
7609,0.90090394
6777,0.19764441
5594,0.9042368
7782,0.60667926
5949,0.06959432
700,0.9946801
2665,0.0020810068
6930,0.019586474
8987,0.99312556
11024,0.987327
7637,0.9997882
8386,0.44448143
7547,0.99528253
878,0.9762676
7111,0.9998398
2659,0.977684
4714,0.65958977
624,0.0155418515
2892,0.99999976
8783,0.022750467
8576,0.00028279424
4510,0.021530837
1779,0.0075458586
3046,0.008409858
7318,0.2001943
4429,0.9998443
2836,0.2663327
12137,0.051288813
2859,0.0028340518
2991,0.0019626021
464,0.04083708
4394,0.24875754
2857,0.02612573
5492,0.019810319
3816,0.74108803
6016,0.99988055
1523,2.0056963e-05
6494,0.025026768
3010,0.32677585
11387,0.9997399
9653,0.018364787
2808,0.17949712
12009,0.97055423
1431,0.99797213
1027,0.0012468994
4659,0.018912435
7399,0.95154834
7723,0.9993843
3449,9.298325e-06
10964,3.20673e-05
11476,0.041412354
10905,0.99953777
11978,0.8591286
2981,0.030350238
5151,0.49669644
1634,0.2608779
10577,0.0038425028
11135,0.019331336
11961,0.50255096
12340,0.03971702
11023,0.9999999
12046,0.8592305
24,0.929433
12398,0.021692455
11082,0.009144217
6989,0.05038646
1602,0.23631474
